country,food_group,food_supply
Costa Rica,Miscellaneous,0.0
Costa Rica,"Pulses, seeds and nuts and their products",121.2
Costa Rica,"Roots, tubers, plantains and their products",65.6
Costa Rica,Spices and condiments,5.0
Costa Rica,Sweets and sugars,497.2
Costa Rica,Vegetables and their products,38.8
Croatia,Beverages,201.6
Croatia,Cereals and their products,761.8
Croatia,Eggs and their products,30.0
Croatia,Fats and oils,571.0
Croatia,"Fish, shellfish and their products",35.6
Croatia,Fruits and their products,119.8
Croatia,Meat and meat products,399.2
Croatia,Milk and milk products,333.8
Croatia,"Pulses, seeds and nuts and their products",70.8
Croatia,"Roots, tubers, plantains and their products",77.6
Croatia,Spices and condiments,4.6
Croatia,Sweets and sugars,605.0
Croatia,Vegetables and their products,164.8
Cuba,Beverages,160.0
Cuba,Cereals and their products,1034.0
Cuba,Eggs and their products,32.0
Cuba,Fats and oils,313.0
Cuba,"Fish, shellfish and their products",11.0
Cuba,Foods for particular nutritional uses,0.0
Cuba,Fruits and their products,107.0
Cuba,Meat and meat products,342.0
Cuba,Milk and milk products,154.0
Cuba,Miscellaneous,4.0
Cuba,"Pulses, seeds and nuts and their products",184.0
Cuba,"Roots, tubers, plantains and their products",437.0
Cuba,Spices and condiments,1.0
Cuba,Sweets and sugars,489.0
Cuba,Vegetables and their products,117.0
Cyprus,Beverages,174.2
Cyprus,Cereals and their products,922.0
Cyprus,Eggs and their products,23.6
Cyprus,Fats and oils,414.6
Cyprus,"Fish, shellfish and their products",31.8
Cyprus,Foods for particular nutritional uses,8.2
Cyprus,Fruits and their products,81.2
Cyprus,Meat and meat products,307.4
Cyprus,Milk and milk products,330.0
Cyprus,Miscellaneous,54.0
Cyprus,"Pulses, seeds and nuts and their products",93.6
Cyprus,"Roots, tubers, plantains and their products",45.4
Cyprus,Spices and condiments,5.6
Cyprus,Sweets and sugars,332.2
Cyprus,Vegetables and their products,55.2
Czechia,Beverages,332.8
Czechia,Cereals and their products,671.4
Czechia,Eggs and their products,33.2
Czechia,Fats and oils,896.2
Czechia,"Fish, shellfish and their products",18.8
Czechia,Foods for particular nutritional uses,4.0
Czechia,Fruits and their products,96.6
Czechia,Meat and meat products,341.8
Czechia,Milk and milk products,319.4
Czechia,Miscellaneous,16.6
Czechia,"Pulses, seeds and nuts and their products",65.6
Czechia,"Roots, tubers, plantains and their products",110.8
Czechia,Spices and condiments,4.0
Czechia,Sweets and sugars,401.2
Czechia,Vegetables and their products,58.0
Côte d'Ivoire,Beverages,28.6
Côte d'Ivoire,Cereals and their products,1050.4
Côte d'Ivoire,Eggs and their products,7.2
Côte d'Ivoire,Fats and oils,253.6
Côte d'Ivoire,"Fish, shellfish and their products",45.4
Côte d'Ivoire,Foods for particular nutritional uses,1.4
Côte d'Ivoire,Fruits and their products,14.2
Côte d'Ivoire,Meat and meat products,69.0
Côte d'Ivoire,Milk and milk products,10.4
Côte d'Ivoire,Miscellaneous,0.0
Côte d'Ivoire,"Pulses, seeds and nuts and their products",70.8
Côte d'Ivoire,"Roots, tubers, plantains and their products",1121.0
Côte d'Ivoire,Spices and condiments,29.8
Côte d'Ivoire,Sweets and sugars,169.4
Côte d'Ivoire,Vegetables and their products,30.4
Democratic Republic of the Congo,Beverages,13.2
Democratic Republic of the Congo,Cereals and their products,321.0
Democratic Republic of the Congo,Eggs and their products,0.0
Democratic Republic of the Congo,Fats and oils,101.4
Democratic Republic of the Congo,"Fish, shellfish and their products",7.2
Democratic Republic of the Congo,Foods for particular nutritional uses,0.0
Democratic Republic of the Congo,Fruits and their products,24.0
Democratic Republic of the Congo,Meat and meat products,20.6
Democratic Republic of the Congo,Milk and milk products,3.0
Democratic Republic of the Congo,Miscellaneous,1.0
Democratic Republic of the Congo,"Pulses, seeds and nuts and their products",79.4
Democratic Republic of the Congo,"Roots, tubers, plantains and their products",1425.4
Democratic Republic of the Congo,Spices and condiments,3.4
Democratic Republic of the Congo,Sweets and sugars,37.8
Democratic Republic of the Congo,Vegetables and their products,5.0
Denmark,Beverages,299.2
Denmark,Cereals and their products,744.0
Denmark,Eggs and their products,56.6
Denmark,Fats and oils,620.8
Denmark,"Fish, shellfish and their products",52.4
Denmark,Foods for particular nutritional uses,0.0
Denmark,Fruits and their products,89.4
Denmark,Meat and meat products,485.4
Denmark,Milk and milk products,559.0
Denmark,"Pulses, seeds and nuts and their products",86.0
Denmark,"Roots, tubers, plantains and their products",119.6
Denmark,Spices and condiments,13.4
Denmark,Sweets and sugars,578.4
Denmark,Vegetables and their products,75.6
Djibouti,Beverages,17.4
Djibouti,Cereals and their products,1378.0
Djibouti,Eggs and their products,5.2
Djibouti,Fats and oils,349.0
Djibouti,"Fish, shellfish and their products",10.8
Djibouti,Foods for particular nutritional uses,4.4
Djibouti,Fruits and their products,50.8
Djibouti,Meat and meat products,74.6
Djibouti,Milk and milk products,113.0
Djibouti,Miscellaneous,43.6
Djibouti,"Pulses, seeds and nuts and their products",174.8
Djibouti,"Roots, tubers, plantains and their products",36.8
Djibouti,Spices and condiments,12.0
Djibouti,Sweets and sugars,404.8
Djibouti,Vegetables and their products,65.8
Dominican Republic,Beverages,114.0
Dominican Republic,Cereals and their products,745.6
Dominican Republic,Eggs and their products,51.4
Dominican Republic,Fats and oils,442.6
